id,material_key,display_name,normalized_name,material_group,brand_name,series_name,specification,size_mm,size_inch,grade_code,width_mm,height_mm,thickness_mm,thickness_mm_min,thickness_mm_max,cross_section_sqmm_min,cross_section_sqmm_max,strength_kg_per_cm2,default_unit,confidence_score,source_kb_id,source_title,source_row_id,raw_material_name,raw_variant_label,created_at
106,ป_นผสมส_าเร_จร_ป_ready_mix_ลบ_ม,ปูนผสมสำเร็จรูป,ป นผสมส าเร จร ป,cement,,,Ready-mix,,,,,,,,,,,,ลบ.ม.,0.95,254,หา Database แบรนด์วัสดุ — SCG COTTO TOA Jotun,203,ปูนผสมสำเร็จรูป (Ready-mix),,2026-04-09 11:03:53
112,ป_นผสมเสร_จ_scg_ready_mix_ลบ_ม,ปูนผสมเสร็จ,ป นผสมเสร จ,cement,SCG,,Ready-mix,,,,,,,,,,,,ลบ.ม.,1.0,269,"ซัพพลายเออร์ปูนซีเมนต์ — SCG, TPI, INSEE",225,ปูนผสมเสร็จ (Ready-mix),,2026-04-09 11:03:53
88,ประต_hdf_ใช_ภายในห_องนอน_บาน,ประตู HDF,ประต hdf,doors_windows,,,ใช้ภายในห้องนอน,,,,,,,,,,,,บาน,0.95,174,งานประตู-หน้าต่าง — อลูมิเนียม/uPVC/ไม้+กระจก+มุ้ง+ค่าแรง,148,ประตู HDF (ใช้ภายในห้องนอน),,2026-04-09 11:03:53
89,ประต_wpc_upvc_ก_นน_า_ใช_ในห_องน_า_บาน,ประตู WPC / uPVC,ประต wpc upvc,doors_windows,,,กันน้ำ ใช้ในห้องน้ำ,,,,,,,,,,,,บาน,0.95,174,งานประตู-หน้าต่าง — อลูมิเนียม/uPVC/ไม้+กระจก+มุ้ง+ค่าแรง,149,ประตู WPC / uPVC (กันน้ำ ใช้ในห้องน้ำ),,2026-04-09 11:03:53
91,ระบบ_upvc_เกรดมาตรฐาน_แบรนด_ช_นน_า_upvc_ตร_ม,ระบบ uPVC,ระบบ upvc,doors_windows,,,เกรดมาตรฐาน แบรนด์ชั้นนำ | uPVC (เกรดมาตรฐาน แบรนด์ชั้นนำ),,,,,,,,,,,,ตร.ม.,0.95,174,งานประตู-หน้าต่าง — อลูมิเนียม/uPVC/ไม้+กระจก+มุ้ง+ค่าแรง,151,uPVC (เกรดมาตรฐาน แบรนด์ชั้นนำ),uPVC (เกรดมาตรฐาน แบรนด์ชั้นนำ),2026-04-09 11:03:53
90,อล_ม_เน_ยม_หนา_1_2_มม_ส_ด_า_ชา_ตร_ม,อลูมิเนียม,อล ม เน ยม,doors_windows,,,หนา 1.2 มม. สีดำ/ชา,1.2,,,,,1.2,1.2,1.2,,,,ตร.ม.,0.95,174,งานประตู-หน้าต่าง — อลูมิเนียม/uPVC/ไม้+กระจก+มุ้ง+ค่าแรง,150,อลูมิเนียม (หนา 1.2 มม. สีดำ/ชา),,2026-04-09 11:03:53
85,สายไฟ_1_5_sq_mm_แสงสว_าง_1_5_sq_mm_ม_วน,สายไฟ 1.5 sq.mm,สายไฟ 1 5 sq mm,electrical,,,แสงสว่าง | 1.5 sq.mm,,,,,,,,,1.5,1.5,,ม้วน,0.95,173,งานไฟฟ้าทั้งหลัง — สายไฟ+ท่อร้อย+เบรคเกอร์+ดวงโคม+ค่าแรง,145,5 sq.mm (แสงสว่าง),,2026-04-09 11:03:53
86,สายไฟ_2_5_sq_mm_เต_าร_บ_2_5_sq_mm_ม_วน,สายไฟ 2.5 sq.mm,สายไฟ 2 5 sq mm,electrical,,,เต้ารับ | 2.5 sq.mm,,,,,,,,,2.5,2.5,,ม้วน,0.95,173,งานไฟฟ้าทั้งหลัง — สายไฟ+ท่อร้อย+เบรคเกอร์+ดวงโคม+ค่าแรง,146,5 sq.mm (เต้ารับ),,2026-04-09 11:03:53
87,สายไฟ_4_6_sq_mm_แอร_เคร_องท_าน_าอ_น_4_6_sq_mm_ม_วน,สายไฟ 4-6 sq.mm,สายไฟ 4 6 sq mm,electrical,,,แอร์/เครื่องทำน้ำอุ่น | 4-6 sq.mm,,,,,,,,,4.0,6.0,,ม้วน,0.95,173,งานไฟฟ้าทั้งหลัง — สายไฟ+ท่อร้อย+เบรคเกอร์+ดวงโคม+ค่าแรง,147,6 sq.mm (แอร์/เครื่องทำน้ำอุ่น),,2026-04-09 11:03:53
58,กระจก_low_e_ตร_ม,กระจก Low-E,กระจก low e,glass,,,,,,,,,,,,,,,ตร.ม.,0.95,6,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,59,กระจก Low-E (ตร.ม.),,2026-04-09 11:03:53
57,กระจกเทมเปอร_8_มม_8_มม_ตร_ม,กระจกเทมเปอร์ 8 มม.,กระจกเทมเปอร 8 มม,glass,,,8 มม.,8.0,,,,,8.0,8.0,8.0,,,,ตร.ม.,0.95,6,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,58,กระจกเทมเปอร์ 8 มม. (ตร.ม.),,2026-04-09 11:03:53
56,กระจกใส_10_มม_10_มม_ตร_ม,กระจกใส 10 มม.,กระจกใส 10 มม,glass,,,10 มม.,10.0,,,,,10.0,10.0,10.0,,,,ตร.ม.,0.95,6,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,57,กระจกใส 10 มม. (ตร.ม.),,2026-04-09 11:03:53
55,กระจกใส_6_มม_6_มม_ตร_ม,กระจกใส 6 มม.,กระจกใส 6 มม,glass,,,6 มม.,6.0,,,,,6.0,6.0,6.0,,,,ตร.ม.,0.95,6,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,56,กระจกใส 6 มม. (ตร.ม.),,2026-04-09 11:03:53
97,บานพ_บ_soft_close_1_บานใช_3_4_ต_ว_ต_ว,บานพับ Soft-close,บานพ บ soft close,hardware,,,1 บานใช้ 3-4 ตัว,,,,,,,,,,,,ตัว,0.95,183,งานบิ้วอิน — ตู้เสื้อผ้า+ตู้ครัว+TV wall+ชั้นวาง,160,บานพับ Soft-close,,2026-04-09 11:03:53
98,รางล_นช_ก_soft_close_ช_ด,รางลิ้นชัก Soft-close,รางล นช ก soft close,hardware,,,,,,,,,,,,,,,ชุด,0.95,183,งานบิ้วอิน — ตู้เสื้อผ้า+ตู้ครัว+TV wall+ชั้นวาง,161,รางลิ้นชัก Soft-close,,2026-04-09 11:03:53
63,aluminium_foil_ฉนวน_ตร_ม,Aluminium Foil ฉนวน,aluminium foil ฉนวน,insulation,,,,,,,,,,,,,,,ตร.ม.,0.95,6,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,68,Aluminium Foil ฉนวน,,2026-04-09 11:03:53
61,ฉนวน_rockwool_50_มม_50_มม_ตร_ม,ฉนวน Rockwool 50 มม.,ฉนวน rockwool 50 มม,insulation,,,50 มม.,50.0,,,,,50.0,50.0,50.0,,,,ตร.ม.,0.95,6,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,66,ฉนวน Rockwool 50 มม.,,2026-04-09 11:03:53
64,ฉนวน_spf_spray_polyurethane_foam_ตร_ม,ฉนวน SPF,ฉนวน spf,insulation,,,Spray Polyurethane Foam,,,,,,,,,,,,ตร.ม.,0.95,6,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,69,ฉนวน SPF (Spray Polyurethane Foam),,2026-04-09 11:03:53
62,ฉนวนโฟม_eps_ตร_ม,ฉนวนโฟม EPS,ฉนวนโฟม eps,insulation,,,,,,,,,,,,,,,ตร.ม.,0.95,6,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,67,ฉนวนโฟม EPS (ตร.ม.),,2026-04-09 11:03:53
60,ฉนวนใยแก_ว_50_มม_fiberglass_ตร_ม,ฉนวนใยแก้ว (Fiberglass) 50 มม.,ฉนวนใยแก ว 50 มม,insulation,,Fiberglass,Fiberglass,50.0,,,,,50.0,50.0,50.0,,,,ตร.ม.,0.95,6,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,65,ฉนวนใยแก้ว (Fiberglass) 50 มม.,,2026-04-09 11:03:53
6,ป_นก_ออ_ฐ_ถ_ง,ปูนก่ออิฐ,ป นก ออ ฐ,masonry,,,,,,,,,,,,,,,ถุง,0.95,1,ราคาวัสดุก่อสร้าง 2026 — ปูนซีเมนต์,6,ปูนก่ออิฐ,,2026-04-09 11:03:53
107,อ_ฐมวลเบา_หนา_7_5_ซม_7_5_ซม_ตร_ม,อิฐมวลเบา หนา 7.5 ซม.,อ ฐมวลเบา หนา 7 5 ซม,masonry,,,7.5 ซม.,,,,,,,,,,,,ตร.ม.,0.95,254,หา Database แบรนด์วัสดุ — SCG COTTO TOA Jotun,204,อิฐมวลเบา หนา 7.5 ซม.,,2026-04-09 11:03:53
35,beger_pastel_beger_18_ล_ตร_ถ_ง,Beger Pastel,beger pastel,paint,Beger,Pastel,18 ลิตร,,,,,,,,,,,,ถัง,0.95,4,ราคาวัสดุก่อสร้าง 2026 — สี,35,Beger Pastel (18 ลิตร),,2026-04-09 11:03:53
36,dulux_weathershield_dulux_18_ล_ตร_ถ_ง,Dulux Weathershield,dulux weathershield,paint,Dulux,Weathershield,18 ลิตร,,,,,,,,,,,,ถัง,0.95,4,ราคาวัสดุก่อสร้าง 2026 — สี,36,Dulux Weathershield (18 ลิตร),,2026-04-09 11:03:53
38,nippon_weatherbond_nippon_18_ล_ตร_ถ_ง,Nippon Weatherbond,nippon weatherbond,paint,Nippon,Weatherbond,18 ลิตร,,,,,,,,,,,,ถัง,0.95,4,ราคาวัสดุก่อสร้าง 2026 — สี,38,Nippon Weatherbond (18 ลิตร),,2026-04-09 11:03:53
34,nippon_ร_นมาตรฐาน_nippon_18_ล_ตร_ถ_ง,Nippon รุ่นมาตรฐาน,nippon ร นมาตรฐาน,paint,Nippon,รุ่นมาตรฐาน,18 ลิตร,,,,,,,,,,,,ถัง,0.95,4,ราคาวัสดุก่อสร้าง 2026 — สี,34,Nippon Paint รุ่นมาตรฐาน (18 ลิตร),,2026-04-09 11:03:53
33,toa_platina_toa_18_ล_ตร_ถ_ง,TOA Platina,toa platina,paint,TOA,Platina,18 ลิตร,,,,,,,,,,,,ถัง,0.95,4,ราคาวัสดุก่อสร้าง 2026 — สี,33,TOA Platina (ถัง 18 ลิตร),,2026-04-09 11:03:53
37,toa_weather_guard_toa_18_ล_ตร_ถ_ง,TOA Weather-Guard,toa weather guard,paint,TOA,Weather-Guard,18 ลิตร,,,,,,,,,,,,ถัง,0.95,4,ราคาวัสดุก่อสร้าง 2026 — สี,37,TOA Weather-Guard (18 ลิตร),,2026-04-09 11:03:53
32,toa_ซ_ปเปอร_ช_ลด_toa_18_ล_ตร_ถ_ง,TOA ซุปเปอร์ชิลด์,toa ซ ปเปอร ช ลด,paint,TOA,ซุปเปอร์ชิลด์,18 ลิตร,,,,,,,,,,,,ถัง,0.95,4,ราคาวัสดุก่อสร้าง 2026 — สี,32,TOA ซุปเปอร์ชิลด์ (ถัง 18 ลิตร),,2026-04-09 11:03:53
96,พ_นส_ไฮกลอส_high_gloss_ตร_ม,พ่นสีไฮกลอส,พ นส ไฮกลอส,paint,,,High-Gloss,,,,,,,,,,,,ตร.ม.,0.95,183,งานบิ้วอิน — ตู้เสื้อผ้า+ตู้ครัว+TV wall+ชั้นวาง,159,พ่นสีไฮกลอส (High-Gloss),,2026-04-09 11:03:53
41,ส_ทองค_า_ส_พ_เศษ_ล_ตร,สีทองคำ/สีพิเศษ,ส ทองค า ส พ เศษ,paint,,,,,,,,,,,,,,,ลิตร,0.95,4,ราคาวัสดุก่อสร้าง 2026 — สี,42,สีทองคำ/สีพิเศษ,,2026-04-09 11:03:53
40,ส_พ_น_automotive_ล_ตร,สีพ่น,ส พ น,paint,,,automotive,,,,,,,,,,,,ลิตร,0.95,4,ราคาวัสดุก่อสร้าง 2026 — สี,41,สีพ่น (automotive),,2026-04-09 11:03:53
39,ส_รองพ_น_18_ล_ตร_ถ_ง,สีรองพื้น,ส รองพ น,paint,,,18 ลิตร,,,,,,,,,,,,ถัง,0.95,4,ราคาวัสดุก่อสร้าง 2026 — สี,39,สีรองพื้น (18 ลิตร),,2026-04-09 11:03:53
66,ท_อ_pvc_1_น_ว_เมตร,ท่อ PVC 1 นิ้ว,ท อ pvc 1 น ว,pipe,,,25 มม. | 1 นิ้ว,25.0,1,,,,,,,,,,เมตร,0.95,261,หาราคาท่อ PVC + อุปกรณ์,218,หาราคาท่อ PVC + อุปกรณ์,ขนาด 1 นิ้ว (25 มม.),2026-04-09 11:03:53
65,ท_อ_pvc_1_2_น_ว_เมตร,ท่อ PVC 1/2 นิ้ว,ท อ pvc 1 2 น ว,pipe,,,18 มม. | 1/2 นิ้ว,18.0,1/2,,,,,,,,,,เมตร,0.95,261,หาราคาท่อ PVC + อุปกรณ์,216,หาราคาท่อ PVC + อุปกรณ์,ขนาด 1/2 นิ้ว (18 มม.),2026-04-09 11:03:53
67,ท_อ_pvc_2_น_ว_เมตร,ท่อ PVC 2 นิ้ว,ท อ pvc 2 น ว,pipe,,,2 นิ้ว,,2,,,,,,,,,,เมตร,0.95,6,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,72,ท่อ PVC 2 นิ้ว (เมตร),,2026-04-09 11:03:53
109,ท_อ_pvc_3_4_น_ว_เมตร,ท่อ PVC 3/4 นิ้ว,ท อ pvc 3 4 น ว,pipe,,,20 มม. | 3/4 นิ้ว,20.0,3/4,,,,,,,,,,เมตร,0.95,261,หาราคาท่อ PVC + อุปกรณ์,217,หาราคาท่อ PVC + อุปกรณ์,ขนาด 3/4 นิ้ว (20 มม.),2026-04-09 11:03:53
68,ท_อ_pvc_4_น_ว_เมตร,ท่อ PVC 4 นิ้ว,ท อ pvc 4 น ว,pipe,,,4 นิ้ว,,4,,,,,,,,,,เมตร,0.95,6,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,73,ท่อ PVC 4 นิ้ว (เมตร),,2026-04-09 11:03:53
18,เหล_ก_c_channel_75x45_เมตร,เหล็ก C-Channel 75x45,เหล ก c channel 75x45,steel,,,,,,,75.0,45.0,,,,,,,เมตร,0.95,2,ราคาวัสดุก่อสร้าง 2026 — เหล็ก,18,เหล็ก C-Channel 75x45,,2026-04-09 11:03:53
19,เหล_กกล_อง_50x50x2_มม_2_มม_เมตร,เหล็กกล่อง 50x50x2 มม.,เหล กกล อง 50x50x2 มม,steel,,,2 มม.,,,,50.0,50.0,2.0,2.0,2.0,,,,เมตร,0.95,2,ราคาวัสดุก่อสร้าง 2026 — เหล็ก,19,เหล็กกล่อง 50x50x2 มม.,,2026-04-09 11:03:53
13,เหล_กข_ออ_อย_db10_เมตร,เหล็กข้ออ้อย (Deformed Bar) DB10,เหล กข ออ อย db10,steel,,Deformed Bar,10 มม.,10.0,,DB10,,,,,,,,,เมตร,0.95,2,ราคาวัสดุก่อสร้าง 2026 — เหล็ก,13,เหล็กข้ออ้อย (Deformed Bar) DB10,,2026-04-09 11:03:53
14,เหล_กข_ออ_อย_db12_เมตร,เหล็กข้ออ้อย DB12,เหล กข ออ อย db12,steel,,,12 มม.,12.0,,DB12,,,,,,,,,เมตร,0.95,2,ราคาวัสดุก่อสร้าง 2026 — เหล็ก,14,เหล็กข้ออ้อย DB12,,2026-04-09 11:03:53
15,เหล_กข_ออ_อย_db16_เมตร,เหล็กข้ออ้อย DB16,เหล กข ออ อย db16,steel,,,16 มม.,16.0,,DB16,,,,,,,,,เมตร,0.95,2,ราคาวัสดุก่อสร้าง 2026 — เหล็ก,15,เหล็กข้ออ้อย DB16,,2026-04-09 11:03:53
16,เหล_กข_ออ_อย_db20_เมตร,เหล็กข้ออ้อย DB20,เหล กข ออ อย db20,steel,,,20 มม.,20.0,,DB20,,,,,,,,,เมตร,0.95,2,ราคาวัสดุก่อสร้าง 2026 — เหล็ก,16,เหล็กข้ออ้อย DB20,,2026-04-09 11:03:53
80,เหล_กข_ออ_อย_sd40_db12_เส_น,เหล็กข้ออ้อย SD40 DB12,เหล กข ออ อย sd40 db12,steel,,,12 มม.,12.0,,SD40 DB12,,,,,,,,,เส้น,0.95,117,สูตรคำนวณวัสดุโครงสร้าง — ปูนซีเมนต์ เหล็ก คอนกรีต ต่อ ตร.ม.,96,เหล็กข้ออ้อย SD40 DB12,,2026-04-09 11:03:53
81,เหล_กข_ออ_อย_sd40_db16_เส_น,เหล็กข้ออ้อย SD40 DB16,เหล กข ออ อย sd40 db16,steel,,,16 มม.,16.0,,SD40 DB16,,,,,,,,,เส้น,0.95,117,สูตรคำนวณวัสดุโครงสร้าง — ปูนซีเมนต์ เหล็ก คอนกรีต ต่อ ตร.ม.,97,เหล็กข้ออ้อย SD40 DB16,,2026-04-09 11:03:53
82,เหล_กปลอก_rb6_เส_น,เหล็กปลอก RB6,เหล กปลอก rb6,steel,,,6 มม.,6.0,,RB6,,,,,,,,,เส้น,0.95,117,สูตรคำนวณวัสดุโครงสร้าง — ปูนซีเมนต์ เหล็ก คอนกรีต ต่อ ตร.ม.,98,เหล็กปลอก RB6,,2026-04-09 11:03:53
10,เหล_กเส_นกลม_6_มม_round_bar_เมตร,เหล็กเส้นกลม (Round Bar) 6 มม.,เหล กเส นกลม 6 มม,steel,,Round Bar,Round Bar,6.0,,,,,,,,,,,เมตร,0.95,2,ราคาวัสดุก่อสร้าง 2026 — เหล็ก,10,เหล็กเส้นกลม (Round Bar) 6 มม.,,2026-04-09 11:03:53
12,เหล_กเส_นกลม_12_มม_12_มม_เมตร,เหล็กเส้นกลม 12 มม.,เหล กเส นกลม 12 มม,steel,,,12 มม.,12.0,,,,,,,,,,,เมตร,0.95,2,ราคาวัสดุก่อสร้าง 2026 — เหล็ก,12,เหล็กเส้นกลม 12 มม.,,2026-04-09 11:03:53
11,เหล_กเส_นกลม_9_มม_9_มม_เมตร,เหล็กเส้นกลม 9 มม.,เหล กเส นกลม 9 มม,steel,,,9 มม.,9.0,,,,,,,,,,,เมตร,0.95,2,ราคาวัสดุก่อสร้าง 2026 — เหล็ก,11,เหล็กเส้นกลม 9 มม.,,2026-04-09 11:03:53
99,เหล_กเส_นกลม_rb6_เมตร,เหล็กเส้นกลม RB6,เหล กเส นกลม rb6,steel,,,6 มม.,6.0,,RB6,,,,,,,,,เมตร,0.95,231,หาราคาเพิ่ม — HomePro/ไทวัสดุ วัสดุพื้นฐาน 2026,189,หาราคาเพิ่ม — HomePro/ไทวัสดุ วัสดุพื้นฐาน 2026,ขนาด 6 มม. (RB6),2026-04-09 11:03:53
100,เหล_กเส_นกลม_rb9_เมตร,เหล็กเส้นกลม RB9,เหล กเส นกลม rb9,steel,,,9 มม.,9.0,,RB9,,,,,,,,,เมตร,0.95,231,หาราคาเพิ่ม — HomePro/ไทวัสดุ วัสดุพื้นฐาน 2026,190,หาราคาเพิ่ม — HomePro/ไทวัสดุ วัสดุพื้นฐาน 2026,ขนาด 9 มม. (RB9),2026-04-09 11:03:53
17,เหล_กแผ_น_4_มม_1_2x2_4_ม_4_มม_แผ_น,เหล็กแผ่น 4 มม.,เหล กแผ น 4 มม,steel,,,1.2x2.4 ม. | 4 มม.,4.0,,,1200.0,2400.0,4.0,4.0,4.0,,,,แผ่น,0.95,2,ราคาวัสดุก่อสร้าง 2026 — เหล็ก,17,เหล็กแผ่น 4 มม. (1.2x2.4 ม.),,2026-04-09 11:03:53
69,30x30_ซม_ก_นล_นผ_วหยาบ_30x30_ซม_ตร_ม,30x30 ซม. กันลื่นผิวหยาบ,30x30 ซม ก นล นผ วหยาบ,surface_finish,,,30x30 ซม.,,,,300.0,300.0,,,,,,,ตร.ม.,0.95,115,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,80,x30 ซม. กันลื่นผิวหยาบ,,2026-04-09 11:03:53
70,40x40_ซม_ผ_วเร_ยบ_40x40_ซม_ตร_ม,40x40 ซม. ผิวเรียบ,40x40 ซม ผ วเร ยบ,surface_finish,,,40x40 ซม.,,,,400.0,400.0,,,,,,,ตร.ม.,0.95,115,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,81,x40 ซม. ผิวเรียบ,,2026-04-09 11:03:53
73,60x60_ซม_ผ_วข_ดม_น_60x60_ซม_ตร_ม,60x60 ซม. ผิวขัดมัน,60x60 ซม ผ วข ดม น,surface_finish,,,60x60 ซม.,,,,600.0,600.0,,,,,,,ตร.ม.,0.95,115,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,84,x60 ซม. ผิวขัดมัน,,2026-04-09 11:03:53
71,60x60_ซม_ผ_วม_น_60x60_ซม_ตร_ม,60x60 ซม. ผิวมัน,60x60 ซม ผ วม น,surface_finish,,,60x60 ซม.,,,,600.0,600.0,,,,,,,ตร.ม.,0.95,115,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,82,x60 ซม. ผิวมัน,,2026-04-09 11:03:53
59,กระจกลาม_เนต_ตร_ม,กระจกลามิเนต,กระจกลาม เนต,surface_finish,,,,,,,,,,,,,,,ตร.ม.,0.95,6,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,60,กระจกลามิเนต (ตร.ม.),,2026-04-09 11:03:53
95,ป_ดผ_วลาม_เนต_hpl_ตร_ม,ปิดผิวลามิเนต,ป ดผ วลาม เนต,surface_finish,,,HPL,,,,,,,,,,,,ตร.ม.,0.95,183,งานบิ้วอิน — ตู้เสื้อผ้า+ตู้ครัว+TV wall+ชั้นวาง,158,ปิดผิวลามิเนต (HPL),,2026-04-09 11:03:53
76,20x25_ซม_เซราม_ก_20x25_ซม_ตร_ม,20x25 ซม. เซรามิก,20x25 ซม เซราม ก,tile,,,20x25 ซม.,,,,200.0,250.0,,,,,,,ตร.ม.,0.95,115,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,87,x25 ซม. เซรามิก,,2026-04-09 11:03:53
72,30x30_ซม_ก_นล_น_30x30_ซม_ตร_ม,30x30 ซม. กันลื่น,30x30 ซม ก นล น,tile,,,30x30 ซม.,,,,300.0,300.0,,,,,,,ตร.ม.,0.95,115,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,83,x30 ซม. กันลื่น,,2026-04-09 11:03:53
77,30x60_ซม_พอร_ซเลน_30x60_ซม_ตร_ม,30x60 ซม. พอร์ซเลน,30x60 ซม พอร ซเลน,tile,,,30x60 ซม.,,,,300.0,600.0,,,,,,,ตร.ม.,0.95,115,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,88,x60 ซม. พอร์ซเลน,,2026-04-09 11:03:53
74,60x60_ซม_ลายห_นอ_อน_60x60_ซม_ตร_ม,60x60 ซม. ลายหินอ่อน,60x60 ซม ลายห นอ อน,tile,,,60x60 ซม.,,,,600.0,600.0,,,,,,,ตร.ม.,0.95,115,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,85,x60 ซม. ลายหินอ่อน,,2026-04-09 11:03:53
75,80x80_ซม_พร_เม_ยม_80x80_ซม_ตร_ม,80x80 ซม. พรีเมียม,80x80 ซม พร เม ยม,tile,,,80x80 ซม.,,,,800.0,800.0,,,,,,,ตร.ม.,0.95,115,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,86,x80 ซม. พรีเมียม,,2026-04-09 11:03:53
