id,material_id,supplier_id,price_type,price_label,unit,currency,price_value,price_min,price_max,confidence_score,source_kb_id,source_title,source_row_id,raw_price_text,raw_line,created_at
10,10,,range,,เมตร,THB,,28.0,32.0,0.95,2,ราคาวัสดุก่อสร้าง 2026 — เหล็ก,10,28-32 บาท/เมตร,เหล็กเส้นกลม (Round Bar) 6 มม.: 28-32 บาท/เมตร,2026-04-09 11:03:53
122,10,,range,,เมตร,THB,,28.0,32.0,0.95,258,หาราคาเหล็กเส้นก่อสร้าง 2026,214,28-32 บาท/เมตร,"""- เหล็กเส้นกลม (Round Bar) 6 มม.: 28-32 บาท/เมตร",2026-04-09 11:03:53
11,11,,range,,เมตร,THB,,55.0,65.0,0.95,2,ราคาวัสดุก่อสร้าง 2026 — เหล็ก,11,55-65 บาท/เมตร,เหล็กเส้นกลม 9 มม.: 55-65 บาท/เมตร,2026-04-09 11:03:53
123,11,,range,,เมตร,THB,,55.0,65.0,0.95,258,หาราคาเหล็กเส้นก่อสร้าง 2026,215,"55-65 บาท/เมตร...""","เหล็กเส้นกลม 9 มม.: 55-65 บาท/เมตร...""",2026-04-09 11:03:53
130,11,,range,,เมตร,THB,,55.0,65.0,0.95,270,"ซัพพลายเออร์เหล็ก — SSI, Tata, SYS",226,55 - 65 บาท/เมตร,เหล็กเส้นกลม 9 มม.: 55 - 65 บาท/เมตร,2026-04-09 11:03:53
12,12,,range,,เมตร,THB,,90.0,105.0,0.95,2,ราคาวัสดุก่อสร้าง 2026 — เหล็ก,12,90-105 บาท/เมตร,เหล็กเส้นกลม 12 มม.: 90-105 บาท/เมตร,2026-04-09 11:03:53
13,13,,range,,เมตร,THB,,65.0,75.0,0.95,2,ราคาวัสดุก่อสร้าง 2026 — เหล็ก,13,65-75 บาท/เมตร,เหล็กข้ออ้อย (Deformed Bar) DB10: 65-75 บาท/เมตร,2026-04-09 11:03:53
14,14,,range,,เมตร,THB,,95.0,110.0,0.95,2,ราคาวัสดุก่อสร้าง 2026 — เหล็ก,14,95-110 บาท/เมตร,เหล็กข้ออ้อย DB12: 95-110 บาท/เมตร,2026-04-09 11:03:53
84,14,,range,,เมตร,THB,,95.0,110.0,0.95,153,template BOQ ทาวน์เฮ้าส์ 3 ชั้น,130,95 - 110 บาท/เมตร,DB12: 95 - 110 บาท/เมตร,2026-04-09 11:03:53
110,14,,range,,เมตร,THB,,95.0,110.0,0.95,231,หาราคาเพิ่ม — HomePro/ไทวัสดุ วัสดุพื้นฐาน 2026,191,95 - 110 บาท/เมตร,ขนาด 12 มม. (DB12): 95 - 110 บาท/เมตร,2026-04-09 11:03:53
15,15,,range,,เมตร,THB,,165.0,185.0,0.95,2,ราคาวัสดุก่อสร้าง 2026 — เหล็ก,15,165-185 บาท/เมตร,เหล็กข้ออ้อย DB16: 165-185 บาท/เมตร,2026-04-09 11:03:53
85,15,,range,,เมตร,THB,,165.0,185.0,0.95,153,template BOQ ทาวน์เฮ้าส์ 3 ชั้น,131,165 - 185 บาท/เมตร,DB16: 165 - 185 บาท/เมตร,2026-04-09 11:03:53
111,15,,range,,เมตร,THB,,165.0,185.0,0.95,231,หาราคาเพิ่ม — HomePro/ไทวัสดุ วัสดุพื้นฐาน 2026,192,165 - 185 บาท/เมตร,ขนาด 16 มม. (DB16): 165 - 185 บาท/เมตร,2026-04-09 11:03:53
16,16,,range,,เมตร,THB,,255.0,285.0,0.95,2,ราคาวัสดุก่อสร้าง 2026 — เหล็ก,16,255-285 บาท/เมตร,เหล็กข้ออ้อย DB20: 255-285 บาท/เมตร,2026-04-09 11:03:53
17,17,,range,,แผ่น,THB,,1200.0,1400.0,0.95,2,ราคาวัสดุก่อสร้าง 2026 — เหล็ก,17,"1,200-1,400 บาท/แผ่น","เหล็กแผ่น 4 มม. (1.2x2.4 ม.): 1,200-1,400 บาท/แผ่น",2026-04-09 11:03:53
18,18,,range,,เมตร,THB,,380.0,420.0,0.95,2,ราคาวัสดุก่อสร้าง 2026 — เหล็ก,18,380-420 บาท/เมตร,เหล็ก C-Channel 75x45: 380-420 บาท/เมตร,2026-04-09 11:03:53
19,19,,range,,เมตร,THB,,280.0,320.0,0.95,2,ราคาวัสดุก่อสร้าง 2026 — เหล็ก,19,280-320 บาท/เมตร,เหล็กกล่อง 50x50x2 มม.: 280-320 บาท/เมตร,2026-04-09 11:03:53
20,20,,range,,ตร.ม.,THB,,85.0,150.0,0.95,3,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,20,85-150 บาท/ตร.ม.,กระเบื้องเซรามิก 30x30: 85-150 บาท/ตร.ม.,2026-04-09 11:03:53
21,21,,range,,ตร.ม.,THB,,180.0,350.0,0.95,3,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,21,180-350 บาท/ตร.ม.,กระเบื้องเซรามิก 60x60: 180-350 บาท/ตร.ม.,2026-04-09 11:03:53
22,22,,range,,ตร.ม.,THB,,250.0,600.0,0.95,3,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,22,250-600 บาท/ตร.ม.,กระเบื้องพอร์ซเลน 60x60: 250-600 บาท/ตร.ม.,2026-04-09 11:03:53
23,23,,range,,ตร.ม.,THB,,450.0,900.0,0.95,3,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,23,450-900 บาท/ตร.ม.,กระเบื้องพอร์ซเลน 60x120: 450-900 บาท/ตร.ม.,2026-04-09 11:03:53
24,24,,range,,ตร.ม.,THB,,350.0,700.0,0.95,3,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,24,350-700 บาท/ตร.ม.,กระเบื้องหินขัด (terrazzo): 350-700 บาท/ตร.ม.,2026-04-09 11:03:53
25,25,,range,,ตร.ม.,THB,,280.0,550.0,0.95,3,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,25,280-550 บาท/ตร.ม.,กระเบื้องไวนิล SPC: 280-550 บาท/ตร.ม.,2026-04-09 11:03:53
26,26,,range,,ตร.ม.,THB,,120.0,250.0,0.95,3,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,26,120-250 บาท/ตร.ม.,กระเบื้องผนังเซรามิก 30x60: 120-250 บาท/ตร.ม.,2026-04-09 11:03:53
27,27,,range,,ตร.ม.,THB,,180.0,380.0,0.95,3,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,27,180-380 บาท/ตร.ม.,กระเบื้องซับเวย์ (subway tile) 7.5x15: 180-380 บาท/ตร.ม.,2026-04-09 11:03:53
28,28,,range,,ตร.ม.,THB,,400.0,1200.0,0.95,3,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,28,"400-1,200 บาท/ตร.ม.","กระเบื้องหินอ่อน (marble look): 400-1,200 บาท/ตร.ม.",2026-04-09 11:03:53
29,29,,range,,แผ่น,THB,,18.0,25.0,0.95,3,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,29,18-25 บาท/แผ่น,กระเบื้องคอนกรีต SCG: 18-25 บาท/แผ่น,2026-04-09 11:03:53
30,30,,range,,แผ่น,THB,,22.0,35.0,0.95,3,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,30,22-35 บาท/แผ่น,กระเบื้องเคลือบ: 22-35 บาท/แผ่น,2026-04-09 11:03:53
31,31,,range,,ตร.ม.,THB,,180.0,350.0,0.95,3,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,31,180-350 บาท/ตร.ม.,เมทัลชีท (Metal Sheet): 180-350 บาท/ตร.ม.,2026-04-09 11:03:53
32,32,,range,,ถัง,THB,,1200.0,1500.0,0.95,4,ราคาวัสดุก่อสร้าง 2026 — สี,32,"1,200-1,500 บาท","TOA ซุปเปอร์ชิลด์ (ถัง 18 ลิตร): 1,200-1,500 บาท",2026-04-09 11:03:53
33,33,,range,,ถัง,THB,,2800.0,3200.0,0.95,4,ราคาวัสดุก่อสร้าง 2026 — สี,33,"2,800-3,200 บาท","TOA Platina (ถัง 18 ลิตร): 2,800-3,200 บาท",2026-04-09 11:03:53
34,34,,range,,ถัง,THB,,1100.0,1400.0,0.95,4,ราคาวัสดุก่อสร้าง 2026 — สี,34,"1,100-1,400 บาท","Nippon Paint รุ่นมาตรฐาน (18 ลิตร): 1,100-1,400 บาท",2026-04-09 11:03:53
35,35,,range,,ถัง,THB,,950.0,1200.0,0.95,4,ราคาวัสดุก่อสร้าง 2026 — สี,35,"950-1,200 บาท","Beger Pastel (18 ลิตร): 950-1,200 บาท",2026-04-09 11:03:53
36,36,,range,,ถัง,THB,,1600.0,2000.0,0.95,4,ราคาวัสดุก่อสร้าง 2026 — สี,36,"1,600-2,000 บาท","Dulux Weathershield (18 ลิตร): 1,600-2,000 บาท",2026-04-09 11:03:53
37,37,,range,,ถัง,THB,,1800.0,2200.0,0.95,4,ราคาวัสดุก่อสร้าง 2026 — สี,37,"1,800-2,200 บาท","TOA Weather-Guard (18 ลิตร): 1,800-2,200 บาท",2026-04-09 11:03:53
38,38,,range,,ถัง,THB,,1700.0,2100.0,0.95,4,ราคาวัสดุก่อสร้าง 2026 — สี,38,"1,700-2,100 บาท","Nippon Weatherbond (18 ลิตร): 1,700-2,100 บาท",2026-04-09 11:03:53
39,39,,range,,ถัง,THB,,600.0,900.0,0.95,4,ราคาวัสดุก่อสร้าง 2026 — สี,39,600-900 บาท,สีรองพื้น (18 ลิตร): 600-900 บาท,2026-04-09 11:03:53
40,40,,range,,ลิตร,THB,,350.0,800.0,0.95,4,ราคาวัสดุก่อสร้าง 2026 — สี,41,350-800 บาท/ลิตร,สีพ่น (automotive): 350-800 บาท/ลิตร,2026-04-09 11:03:53
41,41,,range,,ลิตร,THB,,500.0,1500.0,0.95,4,ราคาวัสดุก่อสร้าง 2026 — สี,42,"500-1,500 บาท/ลิตร","สีทองคำ/สีพิเศษ: 500-1,500 บาท/ลิตร",2026-04-09 11:03:53
42,42,,range,,เมตร,THB,,180.0,280.0,0.95,5,ราคาวัสดุก่อสร้าง 2026 — ไม้และหิน,43,180-280 บาท,ไม้สัก 2x4 นิ้ว (เมตร): 180-280 บาท,2026-04-09 11:03:53
43,43,,range,,เมตร,THB,,350.0,500.0,0.95,5,ราคาวัสดุก่อสร้าง 2026 — ไม้และหิน,44,350-500 บาท,ไม้สัก 4x4 นิ้ว (เมตร): 350-500 บาท,2026-04-09 11:03:53
44,44,,range,,แผ่น,THB,,800.0,1200.0,0.95,5,ราคาวัสดุก่อสร้าง 2026 — ไม้และหิน,45,"800-1,200 บาท (แผ่นพื้น)","ไม้ยางพารา (ตร.ม.): 800-1,200 บาท (แผ่นพื้น)",2026-04-09 11:03:53
45,45,,range,,ตร.ม.,THB,,1500.0,3500.0,0.95,5,ราคาวัสดุก่อสร้าง 2026 — ไม้และหิน,46,"1,500-3,500 บาท","ไม้โอ๊ค (พื้น ตร.ม.): 1,500-3,500 บาท",2026-04-09 11:03:53
46,46,,range,,แผ่น,THB,,550.0,750.0,0.95,5,ราคาวัสดุก่อสร้าง 2026 — ไม้และหิน,47,550-750 บาท/แผ่น,ไม้อัด 18 มม. (1.22x2.44 ม.): 550-750 บาท/แผ่น,2026-04-09 11:03:53
47,47,,range,,แผ่น,THB,,480.0,620.0,0.95,5,ราคาวัสดุก่อสร้าง 2026 — ไม้และหิน,48,480-620 บาท/แผ่น,MDF 18 มม.: 480-620 บาท/แผ่น,2026-04-09 11:03:53
48,48,,range,,แผ่น,THB,,380.0,480.0,0.95,5,ราคาวัสดุก่อสร้าง 2026 — ไม้และหิน,49,380-480 บาท/แผ่น,Particle Board 18 มม.: 380-480 บาท/แผ่น,2026-04-09 11:03:53
49,49,,range,,แผ่น,THB,,850.0,1100.0,0.95,5,ราคาวัสดุก่อสร้าง 2026 — ไม้และหิน,50,"850-1,100 บาท/แผ่น","Plywood Marine 18 มม.: 850-1,100 บาท/แผ่น",2026-04-09 11:03:53
50,50,,range,,แผ่น,THB,,150.0,300.0,0.95,5,ราคาวัสดุก่อสร้าง 2026 — ไม้และหิน,51,เพิ่มอีก 150-300 บาท/แผ่น,เมลามีน (ผิวลามิเนต): เพิ่มอีก 150-300 บาท/แผ่น,2026-04-09 11:03:53
51,51,,range,,ตร.ม.,THB,,2500.0,8000.0,0.95,5,ราคาวัสดุก่อสร้าง 2026 — ไม้และหิน,52,"2,500-8,000 บาท","หินอ่อนจริง (ตร.ม.): 2,500-8,000 บาท",2026-04-09 11:03:53
52,52,,range,,ตร.ม.,THB,,1800.0,5000.0,0.95,5,ราคาวัสดุก่อสร้าง 2026 — ไม้และหิน,53,"1,800-5,000 บาท","หินแกรนิตจริง (ตร.ม.): 1,800-5,000 บาท",2026-04-09 11:03:53
53,53,,range,,ตร.ม.,THB,,2200.0,6000.0,0.95,5,ราคาวัสดุก่อสร้าง 2026 — ไม้และหิน,54,"2,200-6,000 บาท/ตร.ม.","หินเทียม (Engineered Stone): 2,200-6,000 บาท/ตร.ม.",2026-04-09 11:03:53
54,54,,range,,ตร.ม.,THB,,150.0,350.0,0.95,5,ราคาวัสดุก่อสร้าง 2026 — ไม้และหิน,55,150-350 บาท/ตร.ม.,หินปูถนน/กรวด: 150-350 บาท/ตร.ม.,2026-04-09 11:03:53
55,55,,range,,ตร.ม.,THB,,450.0,600.0,0.95,6,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,56,450-600 บาท,กระจกใส 6 มม. (ตร.ม.): 450-600 บาท,2026-04-09 11:03:53
56,56,,range,,ตร.ม.,THB,,850.0,1100.0,0.95,6,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,57,"850-1,100 บาท","กระจกใส 10 มม. (ตร.ม.): 850-1,100 บาท",2026-04-09 11:03:53
57,57,,range,,ตร.ม.,THB,,1200.0,1800.0,0.95,6,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,58,"1,200-1,800 บาท","กระจกเทมเปอร์ 8 มม. (ตร.ม.): 1,200-1,800 บาท",2026-04-09 11:03:53
58,58,,range,,ตร.ม.,THB,,1800.0,3500.0,0.95,6,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,59,"1,800-3,500 บาท","กระจก Low-E (ตร.ม.): 1,800-3,500 บาท",2026-04-09 11:03:53
59,59,,range,,ตร.ม.,THB,,2200.0,4000.0,0.95,6,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,60,"2,200-4,000 บาท","กระจกลามิเนต (ตร.ม.): 2,200-4,000 บาท",2026-04-09 11:03:53
60,60,,range,,ตร.ม.,THB,,120.0,180.0,0.95,6,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,65,120-180 บาท/ตร.ม.,ฉนวนใยแก้ว (Fiberglass) 50 มม.: 120-180 บาท/ตร.ม.,2026-04-09 11:03:53
61,61,,range,,ตร.ม.,THB,,180.0,250.0,0.95,6,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,66,180-250 บาท/ตร.ม.,ฉนวน Rockwool 50 มม.: 180-250 บาท/ตร.ม.,2026-04-09 11:03:53
62,62,,range,,ตร.ม.,THB,,80.0,150.0,0.95,6,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,67,80-150 บาท,ฉนวนโฟม EPS (ตร.ม.): 80-150 บาท,2026-04-09 11:03:53
63,63,,range,,ตร.ม.,THB,,45.0,90.0,0.95,6,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,68,45-90 บาท/ตร.ม.,Aluminium Foil ฉนวน: 45-90 บาท/ตร.ม.,2026-04-09 11:03:53
64,64,,range,,ตร.ม.,THB,,350.0,550.0,0.95,6,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,69,350-550 บาท/ตร.ม.,ฉนวน SPF (Spray Polyurethane Foam): 350-550 บาท/ตร.ม.,2026-04-09 11:03:53
65,65,,range,,เมตร,THB,,18.0,25.0,0.95,6,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,70,18-25 บาท,ท่อ PVC 1/2 นิ้ว (เมตร): 18-25 บาท,2026-04-09 11:03:53
124,65,,range,,เมตร,THB,,15.0,20.0,0.95,261,หาราคาท่อ PVC + อุปกรณ์,216,15 - 20 บาท/เมตร (ประมาณ 60 - 80 บาท/ท่อน),ขนาด 1/2 นิ้ว (18 มม.): 15 - 20 บาท/เมตร (ประมาณ 60 - 80 บาท/ท่อน),2026-04-09 11:03:53
66,66,,range,,เมตร,THB,,35.0,50.0,0.95,6,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,71,35-50 บาท,ท่อ PVC 1 นิ้ว (เมตร): 35-50 บาท,2026-04-09 11:03:53
126,66,,range,,เมตร,THB,,30.0,40.0,0.95,261,หาราคาท่อ PVC + อุปกรณ์,218,30 - 40 บาท/เมตร (ประมาณ 120 - 160 บาท/ท่อน),ขนาด 1 นิ้ว (25 มม.): 30 - 40 บาท/เมตร (ประมาณ 120 - 160 บาท/ท่อน),2026-04-09 11:03:53
67,67,,range,,เมตร,THB,,75.0,100.0,0.95,6,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,72,75-100 บาท,ท่อ PVC 2 นิ้ว (เมตร): 75-100 บาท,2026-04-09 11:03:53
68,68,,range,,เมตร,THB,,180.0,250.0,0.95,6,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,73,180-250 บาท,ท่อ PVC 4 นิ้ว (เมตร): 180-250 บาท,2026-04-09 11:03:53
69,69,,range,,ตร.ม.,THB,,120.0,180.0,0.95,115,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,80,"120-180 บาท/ตร.ม. (COTTO, SOSUCO)","30x30 ซม. กันลื่นผิวหยาบ: 120-180 บาท/ตร.ม. (COTTO, SOSUCO)",2026-04-09 11:03:53
70,70,,range,,ตร.ม.,THB,,150.0,220.0,0.95,115,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,81,150-220 บาท/ตร.ม.,40x40 ซม. ผิวเรียบ: 150-220 บาท/ตร.ม.,2026-04-09 11:03:53
71,71,,range,,ตร.ม.,THB,,200.0,350.0,0.95,115,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,82,200-350 บาท/ตร.ม.,60x60 ซม. ผิวมัน: 200-350 บาท/ตร.ม.,2026-04-09 11:03:53
72,72,,range,,ตร.ม.,THB,,180.0,280.0,0.95,115,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,83,180-280 บาท/ตร.ม.,30x30 ซม. กันลื่น: 180-280 บาท/ตร.ม.,2026-04-09 11:03:53
73,73,,range,,ตร.ม.,THB,,300.0,550.0,0.95,115,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,84,300-550 บาท/ตร.ม.,60x60 ซม. ผิวขัดมัน: 300-550 บาท/ตร.ม.,2026-04-09 11:03:53
74,74,,range,,ตร.ม.,THB,,350.0,700.0,0.95,115,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,85,350-700 บาท/ตร.ม.,60x60 ซม. ลายหินอ่อน: 350-700 บาท/ตร.ม.,2026-04-09 11:03:53
75,75,,range,,ตร.ม.,THB,,500.0,1200.0,0.95,115,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,86,"500-1,200 บาท/ตร.ม.","80x80 ซม. พรีเมียม: 500-1,200 บาท/ตร.ม.",2026-04-09 11:03:53
76,76,,range,,ตร.ม.,THB,,100.0,180.0,0.95,115,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,87,100-180 บาท/ตร.ม.,20x25 ซม. เซรามิก: 100-180 บาท/ตร.ม.,2026-04-09 11:03:53
77,77,,range,,ตร.ม.,THB,,250.0,450.0,0.95,115,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,88,250-450 บาท/ตร.ม.,30x60 ซม. พอร์ซเลน: 250-450 บาท/ตร.ม.,2026-04-09 11:03:53
79,78,,range,ราคา,ถุง,THB,,80.0,180.0,0.92,116,สูตรคำนวณปริมาณวัสดุงานกระเบื้อง — ปูนกาว ยาแนว waste,91,80-180 บาท/ถุง 5 กก.,ราคา: 80-180 บาท/ถุง 5 กก.,2026-04-09 11:03:53
80,79,,range,,ลบ.ม.,THB,,2000.0,2400.0,0.95,117,สูตรคำนวณวัสดุโครงสร้าง — ปูนซีเมนต์ เหล็ก คอนกรีต ต่อ ตร.ม.,94,"2,000-2,400 บาท/ลบ.ม. (ส่งถึงหน้างาน)","ราคา ready-mix 210 กก./ซม²: 2,000-2,400 บาท/ลบ.ม. (ส่งถึงหน้างาน)",2026-04-09 11:03:53
81,80,,range,,เส้น,THB,,220.0,260.0,0.95,117,สูตรคำนวณวัสดุโครงสร้าง — ปูนซีเมนต์ เหล็ก คอนกรีต ต่อ ตร.ม.,96,220-260 บาท/เส้น (10 มม. ยาว 10 ม.),เหล็กข้ออ้อย SD40 DB12: 220-260 บาท/เส้น (10 มม. ยาว 10 ม.),2026-04-09 11:03:53
82,81,,range,,เส้น,THB,,350.0,420.0,0.95,117,สูตรคำนวณวัสดุโครงสร้าง — ปูนซีเมนต์ เหล็ก คอนกรีต ต่อ ตร.ม.,97,350-420 บาท/เส้น,เหล็กข้ออ้อย SD40 DB16: 350-420 บาท/เส้น,2026-04-09 11:03:53
83,82,,range,,เส้น,THB,,55.0,70.0,0.95,117,สูตรคำนวณวัสดุโครงสร้าง — ปูนซีเมนต์ เหล็ก คอนกรีต ต่อ ตร.ม.,98,55-70 บาท/เส้น,เหล็กปลอก RB6: 55-70 บาท/เส้น,2026-04-09 11:03:53
94,85,,range,,ม้วน,THB,,450.0,550.0,0.95,173,งานไฟฟ้าทั้งหลัง — สายไฟ+ท่อร้อย+เบรคเกอร์+ดวงโคม+ค่าแรง,145,450 - 550 บาท/ม้วน,1.5 sq.mm (แสงสว่าง): 450 - 550 บาท/ม้วน,2026-04-09 11:03:53
95,86,,range,,ม้วน,THB,,700.0,850.0,0.95,173,งานไฟฟ้าทั้งหลัง — สายไฟ+ท่อร้อย+เบรคเกอร์+ดวงโคม+ค่าแรง,146,700 - 850 บาท/ม้วน,2.5 sq.mm (เต้ารับ): 700 - 850 บาท/ม้วน,2026-04-09 11:03:53
96,87,,range,,ม้วน,THB,,1200.0,1800.0,0.95,173,งานไฟฟ้าทั้งหลัง — สายไฟ+ท่อร้อย+เบรคเกอร์+ดวงโคม+ค่าแรง,147,"1,200 - 1,800 บาท/ม้วน","4-6 sq.mm (แอร์/เครื่องทำน้ำอุ่น): 1,200 - 1,800 บาท/ม้วน",2026-04-09 11:03:53
97,88,,range,,บาน,THB,,1200.0,1800.0,0.95,174,งานประตู-หน้าต่าง — อลูมิเนียม/uPVC/ไม้+กระจก+มุ้ง+ค่าแรง,148,"1,200 - 1,800 บาท/บาน","ประตู HDF (ใช้ภายในห้องนอน): 1,200 - 1,800 บาท/บาน",2026-04-09 11:03:53
98,89,,range,,บาน,THB,,1800.0,2800.0,0.95,174,งานประตู-หน้าต่าง — อลูมิเนียม/uPVC/ไม้+กระจก+มุ้ง+ค่าแรง,149,"1,800 - 2,800 บาท/บาน","ประตู WPC / uPVC (กันน้ำ ใช้ในห้องน้ำ): 1,800 - 2,800 บาท/บาน",2026-04-09 11:03:53
99,90,,range,,ตร.ม.,THB,,1500.0,2200.0,0.95,174,งานประตู-หน้าต่าง — อลูมิเนียม/uPVC/ไม้+กระจก+มุ้ง+ค่าแรง,150,"1,500 - 2,200 บาท/ตร.ม.","อลูมิเนียม (หนา 1.2 มม. สีดำ/ชา): 1,500 - 2,200 บาท/ตร.ม.",2026-04-09 11:03:53
100,91,,range,,ตร.ม.,THB,,2500.0,3500.0,0.95,174,งานประตู-หน้าต่าง — อลูมิเนียม/uPVC/ไม้+กระจก+มุ้ง+ค่าแรง,151,"2,500 - 3,500 บาท/ตร.ม.","uPVC (เกรดมาตรฐาน แบรนด์ชั้นนำ): 2,500 - 3,500 บาท/ตร.ม.",2026-04-09 11:03:53
101,92,,range,,แผ่น,THB,,450.0,650.0,0.95,183,งานบิ้วอิน — ตู้เสื้อผ้า+ตู้ครัว+TV wall+ชั้นวาง,155,450 - 650 บาท/แผ่น,MDF เปลือย (16-18 mm): 450 - 650 บาท/แผ่น,2026-04-09 11:03:53
