id,kb_id,kb_category,kb_title,section_title,supplier_name,material_name,variant_label,unit,price_min,price_max,price_value,currency,raw_price_text,source,priority,extracted_at
4,1,interior_design,ราคาวัสดุก่อสร้าง 2026 — ปูนซีเมนต์,ราคาวัสดุก่อสร้าง 2026 — ปูนซีเมนต์,,INSEE (ตราสามเหลี่ยม),,ถุง,190,205,,THB,190-205 บาท/ถุง,market_research_2026,9,2026-04-09 10:27:20
48,5,interior_design,ราคาวัสดุก่อสร้าง 2026 — ไม้และหิน,ราคาวัสดุก่อสร้าง 2026 — ไม้และหิน,,MDF 18 มม.,,แผ่น,480,620,,THB,480-620 บาท/แผ่น,market_research_2026,8,2026-04-09 10:27:20
155,183,estimator,งานบิ้วอิน — ตู้เสื้อผ้า+ตู้ครัว+TV wall+ชั้นวาง,งานบิ้วอิน — ตู้เสื้อผ้า+ตู้ครัว+TV wall+ชั้นวาง,,MDF เปลือย (16-18 mm),,แผ่น,450,650,,THB,450 - 650 บาท/แผ่น,autonomy,8,2026-04-09 10:27:20
34,4,interior_design,ราคาวัสดุก่อสร้าง 2026 — สี,ราคาวัสดุก่อสร้าง 2026 — สี,,Nippon Paint รุ่นมาตรฐาน (18 ลิตร),,,1100,1400,,THB,"1,100-1,400 บาท",market_research_2026,8,2026-04-09 10:27:20
38,4,interior_design,ราคาวัสดุก่อสร้าง 2026 — สี,ราคาวัสดุก่อสร้าง 2026 — สี,,Nippon Weatherbond (18 ลิตร),,,1700,2100,,THB,"1,700-2,100 บาท",market_research_2026,8,2026-04-09 10:27:20
49,5,interior_design,ราคาวัสดุก่อสร้าง 2026 — ไม้และหิน,ราคาวัสดุก่อสร้าง 2026 — ไม้และหิน,,Particle Board 18 มม.,,แผ่น,380,480,,THB,380-480 บาท/แผ่น,market_research_2026,8,2026-04-09 10:27:20
50,5,interior_design,ราคาวัสดุก่อสร้าง 2026 — ไม้และหิน,ราคาวัสดุก่อสร้าง 2026 — ไม้และหิน,,Plywood Marine 18 มม.,,แผ่น,850,1100,,THB,"850-1,100 บาท/แผ่น",market_research_2026,8,2026-04-09 10:27:20
2,1,interior_design,ราคาวัสดุก่อสร้าง 2026 — ปูนซีเมนต์,ราคาวัสดุก่อสร้าง 2026 — ปูนซีเมนต์,,SCG (ตราช้าง),,ถุงใหญ่ 200 บาท,,,195,THB,ปูนเทรดีมิกซ์ถุงเล็ก 195 บาท / ถุงใหญ่ 200 บาท,market_research_2026,9,2026-04-09 10:27:20
33,4,interior_design,ราคาวัสดุก่อสร้าง 2026 — สี,ราคาวัสดุก่อสร้าง 2026 — สี,,TOA Platina (ถัง 18 ลิตร),,,2800,3200,,THB,"2,800-3,200 บาท",market_research_2026,8,2026-04-09 10:27:20
37,4,interior_design,ราคาวัสดุก่อสร้าง 2026 — สี,ราคาวัสดุก่อสร้าง 2026 — สี,,TOA Weather-Guard (18 ลิตร),,,1800,2200,,THB,"1,800-2,200 บาท",market_research_2026,8,2026-04-09 10:27:20
32,4,interior_design,ราคาวัสดุก่อสร้าง 2026 — สี,ราคาวัสดุก่อสร้าง 2026 — สี,,TOA ซุปเปอร์ชิลด์ (ถัง 18 ลิตร),,,1200,1500,,THB,"1,200-1,500 บาท",market_research_2026,8,2026-04-09 10:27:20
3,1,interior_design,ราคาวัสดุก่อสร้าง 2026 — ปูนซีเมนต์,ราคาวัสดุก่อสร้าง 2026 — ปูนซีเมนต์,,TPI (ตราทีพีไอ),,ถุง 50 กก.,185,190,,THB,185-190 บาท/ถุง 50 กก.,market_research_2026,9,2026-04-09 10:27:20
151,174,estimator,งานประตู-หน้าต่าง — อลูมิเนียม/uPVC/ไม้+กระจก+มุ้ง+ค่าแรง,งานประตู-หน้าต่าง — อลูมิเนียม/uPVC/ไม้+กระจก+มุ้ง+ค่าแรง,,uPVC (เกรดมาตรฐาน แบรนด์ชั้นนำ),uPVC (เกรดมาตรฐาน แบรนด์ชั้นนำ),ตร.ม.,2500,3500,,THB,"2,500 - 3,500 บาท/ตร.ม.",autonomy,8,2026-04-09 10:27:20
87,115,construction_material,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,,x25 ซม. เซรามิก,,ตร.ม.,100,180,,THB,100-180 บาท/ตร.ม.,expert_manual,10,2026-04-09 10:27:20
83,115,construction_material,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,,x30 ซม. กันลื่น,,ตร.ม.,180,280,,THB,180-280 บาท/ตร.ม.,expert_manual,10,2026-04-09 10:27:20
80,115,construction_material,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,,x30 ซม. กันลื่นผิวหยาบ,,"ตร.ม. (COTTO, SOSUCO)",120,180,,THB,"120-180 บาท/ตร.ม. (COTTO, SOSUCO)",expert_manual,10,2026-04-09 10:27:20
81,115,construction_material,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,,x40 ซม. ผิวเรียบ,,ตร.ม.,150,220,,THB,150-220 บาท/ตร.ม.,expert_manual,10,2026-04-09 10:27:20
84,115,construction_material,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,,x60 ซม. ผิวขัดมัน,,ตร.ม.,300,550,,THB,300-550 บาท/ตร.ม.,expert_manual,10,2026-04-09 10:27:20
82,115,construction_material,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,,x60 ซม. ผิวมัน,,ตร.ม.,200,350,,THB,200-350 บาท/ตร.ม.,expert_manual,10,2026-04-09 10:27:20
88,115,construction_material,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,,x60 ซม. พอร์ซเลน,,ตร.ม.,250,450,,THB,250-450 บาท/ตร.ม.,expert_manual,10,2026-04-09 10:27:20
85,115,construction_material,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,,x60 ซม. ลายหินอ่อน,,ตร.ม.,350,700,,THB,350-700 บาท/ตร.ม.,expert_manual,10,2026-04-09 10:27:20
86,115,construction_material,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,ราคากระเบื้องปูพื้น 2026 — แยกขนาด/ประเภท/ยี่ห้อ,,x80 ซม. พรีเมียม,,ตร.ม.,500,1200,,THB,"500-1,200 บาท/ตร.ม.",expert_manual,10,2026-04-09 10:27:20
59,6,interior_design,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,,กระจก Low-E (ตร.ม.),,,1800,3500,,THB,"1,800-3,500 บาท",market_research_2026,8,2026-04-09 10:27:20
60,6,interior_design,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,,กระจกลามิเนต (ตร.ม.),,,2200,4000,,THB,"2,200-4,000 บาท",market_research_2026,8,2026-04-09 10:27:20
115,118,construction_material,ราคาสุขภัณฑ์ห้องน้ำ 2026 — แยกเกรด/ยี่ห้อ,ราคาสุขภัณฑ์ห้องน้ำ 2026 — แยกเกรด/ยี่ห้อ,,กระจกเงา,,,500,3000,,THB,"500-3,000 บาท",expert_manual,10,2026-04-09 10:27:20
58,6,interior_design,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,,กระจกเทมเปอร์ 8 มม. (ตร.ม.),,,1200,1800,,THB,"1,200-1,800 บาท",market_research_2026,8,2026-04-09 10:27:20
57,6,interior_design,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,,กระจกใส 10 มม. (ตร.ม.),,,850,1100,,THB,"850-1,100 บาท",market_research_2026,8,2026-04-09 10:27:20
56,6,interior_design,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,,กระจกใส 6 มม. (ตร.ม.),,,450,600,,THB,450-600 บาท,market_research_2026,8,2026-04-09 10:27:20
29,3,interior_design,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,,กระเบื้องคอนกรีต SCG,,แผ่น,18,25,,THB,18-25 บาท/แผ่น,market_research_2026,9,2026-04-09 10:27:20
27,3,interior_design,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,,กระเบื้องซับเวย์ (subway tile) 7.5x15,,ตร.ม.,180,380,,THB,180-380 บาท/ตร.ม.,market_research_2026,9,2026-04-09 10:27:20
26,3,interior_design,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,,กระเบื้องผนังเซรามิก 30x60,,ตร.ม.,120,250,,THB,120-250 บาท/ตร.ม.,market_research_2026,9,2026-04-09 10:27:20
23,3,interior_design,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,,กระเบื้องพอร์ซเลน 60x120,,ตร.ม.,450,900,,THB,450-900 บาท/ตร.ม.,market_research_2026,9,2026-04-09 10:27:20
22,3,interior_design,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,,กระเบื้องพอร์ซเลน 60x60,,ตร.ม.,250,600,,THB,250-600 บาท/ตร.ม.,market_research_2026,9,2026-04-09 10:27:20
205,254,researcher,หา Database แบรนด์วัสดุ — SCG COTTO TOA Jotun,หา Database แบรนด์วัสดุ — SCG COTTO TOA Jotun,,กระเบื้องพอร์ซเลน 60x60 ซม.,,ตร.ม.,420,550,,THB,420 - 550 บาท/ตร.ม.,autonomy,8,2026-04-09 10:27:20
24,3,interior_design,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,,กระเบื้องหินขัด (terrazzo),,ตร.ม.,350,700,,THB,350-700 บาท/ตร.ม.,market_research_2026,9,2026-04-09 10:27:20
28,3,interior_design,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,,กระเบื้องหินอ่อน (marble look),,ตร.ม.,400,1200,,THB,"400-1,200 บาท/ตร.ม.",market_research_2026,9,2026-04-09 10:27:20
30,3,interior_design,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,,กระเบื้องเคลือบ,,แผ่น,22,35,,THB,22-35 บาท/แผ่น,market_research_2026,9,2026-04-09 10:27:20
20,3,interior_design,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,,กระเบื้องเซรามิก 30x30,,ตร.ม.,85,150,,THB,85-150 บาท/ตร.ม.,market_research_2026,9,2026-04-09 10:27:20
21,3,interior_design,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,,กระเบื้องเซรามิก 60x60,,ตร.ม.,180,350,,THB,180-350 บาท/ตร.ม.,market_research_2026,9,2026-04-09 10:27:20
185,212,planner,การทำ Proposal/Presentation เสนองาน,การทำ Proposal/Presentation เสนองาน,,กระเบื้องแกรนิตโต้ 60x60 (บุญถาวร),,ตร.ม.,180,350,,THB,180 - 350 บาท/ตร.ม.,autonomy,9,2026-04-09 10:27:20
25,3,interior_design,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,,กระเบื้องไวนิล SPC,,ตร.ม.,280,550,,THB,280-550 บาท/ตร.ม.,market_research_2026,9,2026-04-09 10:27:20
108,118,construction_material,ราคาสุขภัณฑ์ห้องน้ำ 2026 — แยกเกรด/ยี่ห้อ,ราคาสุขภัณฑ์ห้องน้ำ 2026 — แยกเกรด/ยี่ห้อ,,"กลาง (COTTO C2, Mogen)",,,4500,8000,,THB,"4,500-8,000 บาท",expert_manual,10,2026-04-09 10:27:20
114,118,construction_material,ราคาสุขภัณฑ์ห้องน้ำ 2026 — แยกเกรด/ยี่ห้อ,ราคาสุขภัณฑ์ห้องน้ำ 2026 — แยกเกรด/ยี่ห้อ,,ก๊อกผสม (Mixer),,,1200,5000,,THB,"1,200-5,000 บาท",expert_manual,10,2026-04-09 10:27:20
112,118,construction_material,ราคาสุขภัณฑ์ห้องน้ำ 2026 — แยกเกรด/ยี่ห้อ,ราคาสุขภัณฑ์ห้องน้ำ 2026 — แยกเกรด/ยี่ห้อ,,ก๊อกอ่างล้างหน้า,,,500,3000,,THB,"500-3,000 บาท",expert_manual,10,2026-04-09 10:27:20
178,208,writer,สัญญาว่าจ้าง — เงื่อนไข+งวดงาน+penalty,สัญญาว่าจ้าง — เงื่อนไข+งวดงาน+penalty,,ข้อมูลอ้างอิงต้นทุน (2026),,"เหมา, เคลียร์พื้นที่ 90 บาท/ตร.ม.",,,40000,THB,"* ค่ารื้อถอนสิ่งปลูกสร้างเดิมประมาณ 40,000 บาท/เหมา, เคลียร์พื้นที่ 90 บาท/ตร.ม.",autonomy,9,2026-04-09 10:27:20
179,208,writer,สัญญาว่าจ้าง — เงื่อนไข+งวดงาน+penalty,สัญญาว่าจ้าง — เงื่อนไข+งวดงาน+penalty,,ข้อมูลอ้างอิงต้นทุน (2026),,ตู้,,,7800,THB,"* ตู้ Consumer Unit (12-18 ช่อง) 7,800 บาท/ตู้",autonomy,9,2026-04-09 10:27:20
180,208,writer,สัญญาว่าจ้าง — เงื่อนไข+งวดงาน+penalty,สัญญาว่าจ้าง — เงื่อนไข+งวดงาน+penalty,,ข้อมูลอ้างอิงต้นทุน (2026),,"ตร.ม., โถสุขภัณฑ์ชิ้นเดียว 6,050 บาท/ชุด (อ้างอิง: HomePro/บุญถาวร)",,,680,THB,"* กระเบื้องพอร์ซเลน 60x60 รวมปู 680 บาท/ตร.ม., โถสุขภัณฑ์ชิ้นเดียว 6,050 บาท/ชุด (อ้างอิง: HomePro/บุญถาวร)",autonomy,9,2026-04-09 10:27:20
104,117,construction_material,สูตรคำนวณวัสดุโครงสร้าง — ปูนซีเมนต์ เหล็ก คอนกรีต ต่อ ตร.ม.,สูตรคำนวณวัสดุโครงสร้าง — ปูนซีเมนต์ เหล็ก คอนกรีต ต่อ ตร.ม.,,คอนกรีต,,,,,92400,THB,"42 ลบ.ม. × 2,200 = 92,400 บาท",expert_manual,10,2026-04-09 10:27:20
134,156,researcher,ขั้นตอนสร้างบ้านทั้งหมด — timeline + checklist,"[ ] หล่อเสา, เทพื้นชั้น 1-2, หล่อคาน และบันได",,คอนกรีตผสมเสร็จ (CPAC),,คิว (ขึ้นอยู่กับกำลังอัด),2200,2600,,THB,"2,200 - 2,600 บาท/คิว (ขึ้นอยู่กับกำลังอัด)",autonomy,9,2026-04-09 10:27:20
193,234,researcher,หาราคาเพิ่ม — กระเบื้อง+สุขภัณฑ์ 2026,หาราคาเพิ่ม — กระเบื้อง+สุขภัณฑ์ 2026,,ค่าวัสดุ,,ตร.ม.,85,350,,THB,85 - 350 บาท/ตร.ม.,autonomy,8,2026-04-09 10:27:20
194,234,researcher,หาราคาเพิ่ม — กระเบื้อง+สุขภัณฑ์ 2026,หาราคาเพิ่ม — กระเบื้อง+สุขภัณฑ์ 2026,,ค่าวัสดุ,,ตร.ม. (รุ่นยอดนิยมเฉลี่ย 420 บาท/ตร.ม.),250,600,,THB,250 - 600 บาท/ตร.ม. (รุ่นยอดนิยมเฉลี่ย 420 บาท/ตร.ม.),autonomy,8,2026-04-09 10:27:20
195,234,researcher,หาราคาเพิ่ม — กระเบื้อง+สุขภัณฑ์ 2026,หาราคาเพิ่ม — กระเบื้อง+สุขภัณฑ์ 2026,,ค่าวัสดุ,,ตร.ม. (รุ่นยอดนิยมเฉลี่ย 690 บาท/ตร.ม.),450,900,,THB,450 - 900 บาท/ตร.ม. (รุ่นยอดนิยมเฉลี่ย 690 บาท/ตร.ม.),autonomy,8,2026-04-09 10:27:20
133,156,researcher,ขั้นตอนสร้างบ้านทั้งหมด — timeline + checklist,[ ] ขอประปา-ไฟฟ้าชั่วคราวสำหรับก่อสร้าง,,ค่าออกแบบ (สถาปนิก/วิศวกร),,ตร.ม.,500,1500,,THB,"5-10% ของงบก่อสร้าง หรือ 500-1,500 บาท/ตร.ม.",autonomy,9,2026-04-09 10:27:20
132,156,researcher,ขั้นตอนสร้างบ้านทั้งหมด — timeline + checklist,[ ] ขอประปา-ไฟฟ้าชั่วคราวสำหรับก่อสร้าง,,ค่าเจาะสำรวจดิน,,หลุม,15000,20000,,THB,"15,000 - 20,000 บาท/หลุม",autonomy,9,2026-04-09 10:27:20
78,10,interior_design,"สไตล์การออกแบบภายใน — Tropical, Classic, Contemporary","สไตล์การออกแบบภายใน — Tropical, Classic, Contemporary",,งบประมาณ,,ตร.ม.,8000,20000,,THB,"8,000-20,000 บาท/ตร.ม.",design_guide_2026,7,2026-04-09 10:27:20
79,10,interior_design,"สไตล์การออกแบบภายใน — Tropical, Classic, Contemporary","สไตล์การออกแบบภายใน — Tropical, Classic, Contemporary",,งบประมาณ,,ตร.ม.,9000,20000,,THB,"9,000-20,000 บาท/ตร.ม.",design_guide_2026,7,2026-04-09 10:27:20
163,184,estimator,งานถังเก็บน้ำ+ปั๊มน้ำ+ระบบกรอง,งานถังเก็บน้ำ+ปั๊มน้ำ+ระบบกรอง,,งานถังเก็บน้ำ+ปั๊มน้ำ+ระบบกรอง,ขนาด 500 ลิตร,ใบ,3200,4500,,THB,"3,200 - 4,500 บาท/ใบ",autonomy,8,2026-04-09 10:27:20
164,184,estimator,งานถังเก็บน้ำ+ปั๊มน้ำ+ระบบกรอง,งานถังเก็บน้ำ+ปั๊มน้ำ+ระบบกรอง,,งานถังเก็บน้ำ+ปั๊มน้ำ+ระบบกรอง,"ขนาด 1,000 ลิตร",ใบ (แนะนำสำหรับ 2 ห้องน้ำ)*,4800,6900,,THB,"4,800 - 6,900 บาท/ใบ (แนะนำสำหรับ 2 ห้องน้ำ)*",autonomy,8,2026-04-09 10:27:20
165,184,estimator,งานถังเก็บน้ำ+ปั๊มน้ำ+ระบบกรอง,งานถังเก็บน้ำ+ปั๊มน้ำ+ระบบกรอง,,งานถังเก็บน้ำ+ปั๊มน้ำ+ระบบกรอง,"ขนาด 2,000 ลิตร",ใบ,8000,11500,,THB,"8,000 - 11,500 บาท/ใบ",autonomy,8,2026-04-09 10:27:20
166,184,estimator,งานถังเก็บน้ำ+ปั๊มน้ำ+ระบบกรอง,งานถังเก็บน้ำ+ปั๊มน้ำ+ระบบกรอง,,งานถังเก็บน้ำ+ปั๊มน้ำ+ระบบกรอง,"ขนาด 1,000 ลิตร",ใบ (ราคาสูงกว่า PE แต่อายุการใช้งานยาวนาน),10500,13500,,THB,"10,500 - 13,500 บาท/ใบ (ราคาสูงกว่า PE แต่อายุการใช้งานยาวนาน)",autonomy,8,2026-04-09 10:27:20
186,212,planner,การทำ Proposal/Presentation เสนองาน,การทำ Proposal/Presentation เสนองาน,,งานสี,,ถัง 2.5 แกลลอน),1800,2200,,THB,"* อัปเกรดจากสีเกรดมาตรฐาน เป็น TOA SuperShield หรือ Jotun Majestic (ประมาณ 1,800 - 2,200 บาท/ถัง 2.5 แกลลอน)",autonomy,9,2026-04-09 10:27:20
66,6,interior_design,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,,ฉนวน Rockwool 50 มม.,,ตร.ม.,180,250,,THB,180-250 บาท/ตร.ม.,market_research_2026,8,2026-04-09 10:27:20
69,6,interior_design,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,,ฉนวน SPF (Spray Polyurethane Foam),,ตร.ม.,350,550,,THB,350-550 บาท/ตร.ม.,market_research_2026,8,2026-04-09 10:27:20
67,6,interior_design,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,,ฉนวนโฟม EPS (ตร.ม.),,,80,150,,THB,80-150 บาท,market_research_2026,8,2026-04-09 10:27:20
65,6,interior_design,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,,ฉนวนใยแก้ว (Fiberglass) 50 มม.,,ตร.ม.,120,180,,THB,120-180 บาท/ตร.ม.,market_research_2026,8,2026-04-09 10:27:20
113,118,construction_material,ราคาสุขภัณฑ์ห้องน้ำ 2026 — แยกเกรด/ยี่ห้อ,ราคาสุขภัณฑ์ห้องน้ำ 2026 — แยกเกรด/ยี่ห้อ,,ชุดฝักบัว (Rain shower),,,1500,8000,,THB,"1,500-8,000 บาท",expert_manual,10,2026-04-09 10:27:20
103,117,construction_material,สูตรคำนวณวัสดุโครงสร้าง — ปูนซีเมนต์ เหล็ก คอนกรีต ต่อ ตร.ม.,สูตรคำนวณวัสดุโครงสร้าง — ปูนซีเมนต์ เหล็ก คอนกรีต ต่อ ตร.ม.,,ฐานราก (เสาเข็มสั้น 25 ต้น),,,,,37500,THB,"25 × 1,500 = 37,500 บาท",expert_manual,10,2026-04-09 10:27:20
100,117,construction_material,สูตรคำนวณวัสดุโครงสร้าง — ปูนซีเมนต์ เหล็ก คอนกรีต ต่อ ตร.ม.,สูตรคำนวณวัสดุโครงสร้าง — ปูนซีเมนต์ เหล็ก คอนกรีต ต่อ ตร.ม.,,ฐานรากแผ่ (Spread Footing),,จุด,800,1500,,THB,"เหมาะกับดินดี → 800-1,500 บาท/จุด",expert_manual,10,2026-04-09 10:27:20
118,118,construction_material,ราคาสุขภัณฑ์ห้องน้ำ 2026 — แยกเกรด/ยี่ห้อ,ราคาสุขภัณฑ์ห้องน้ำ 2026 — แยกเกรด/ยี่ห้อ,,ตะแกรงกันกลิ่น,,,150,400,,THB,150-400 บาท,expert_manual,10,2026-04-09 10:27:20
90,116,construction_material,สูตรคำนวณปริมาณวัสดุงานกระเบื้อง — ปูนกาว ยาแนว waste,ปูนกาวกระเบื้อง 20 กก./ถุง ปู 4-5 ตร.ม./ถุง (พื้น) หรือ 3-4 ตร.ม./ถุง (ผนัง),,ตัวอย่าง,,,,,440,THB,พื้น 9 ตร.ม. → 9÷4.5 = 2 ถุง × 220 = 440 บาท,expert_manual,10,2026-04-09 10:27:20
92,116,construction_material,สูตรคำนวณปริมาณวัสดุงานกระเบื้อง — ปูนกาว ยาแนว waste,ยาแนวซีเมนต์ 5 กก./ถุง ยาแนว 3-5 ตร.ม./ถุง (แล้วแต่ขนาดร่อง),,ตัวอย่าง,,,,,360,THB,พื้น 9 ตร.ม. (30x30) → 9÷4 = 2.25 → 3 ถุง × 120 = 360 บาท,expert_manual,10,2026-04-09 10:27:20
